0,City,Country,Latitude,Temperature,Humidity,Cloud Cover,Wind Speed,Date
<citipy.citipy.City object at 0x000001F1EB513CF8>,waipawa,nz,-39.94,47.38,81,0,2.57,1514655638
<citipy.citipy.City object at 0x000001F1EA764FD0>,wamba,cd,2.14,76.05,52,0,3.76,1514655921
<citipy.citipy.City object at 0x000001F1EB275A20>,nurota,uz,40.56,32,78,64,4.7,1514653200
<citipy.citipy.City object at 0x000001F1EBD04E80>,hobyo,so,5.35,75.37,82,36,19.42,1514655923
<citipy.citipy.City object at 0x000001F1EB564320>,faanui,pf,-16.48,81.63,100,0,9.46,1514655391
<citipy.citipy.City object at 0x000001F1EBA58588>,batagay,ru,67.65,-46.9,0,20,2.3,1514655604
<citipy.citipy.City object at 0x000001F1EA6F37F0>,attawapiskat,ca,,,,,,
<citipy.citipy.City object at 0x000001F1EBE73FD0>,fortuna,us,38.18,64.92,52,0,20.8,1514655000
<citipy.citipy.City object at 0x000001F1EA820F28>,yaan,cn,7.38,86.17,24,0,8.57,1514655624
<citipy.citipy.City object at 0x000001F1EB83F550>,ponta delgada,pt,37.73,66.2,88,75,20.8,1514655000
<citipy.citipy.City object at 0x000001F1EAFF90B8>,zunheboto,in,26.02,41.17,83,0,1.52,1514655925
<citipy.citipy.City object at 0x000001F1EA8182B0>,wanxian,cn,30.8,30.33,90,76,2.3,1514655925
<citipy.citipy.City object at 0x000001F1EB26C128>,chuy,uy,-33.69,86.58,69,0,10.8,1514655506
<citipy.citipy.City object at 0x000001F1EBCB67F0>,turayf,sa,31.68,55.4,71,0,4.7,1514653200
<citipy.citipy.City object at 0x000001F1EA5E8CF8>,caravelas,br,-17.73,80.05,100,64,18.97,1514655597
